Date,Pays,Filière,Valeur (TWh),
2022-11,Danemark,Gaz,0,18425583
2022-12,Danemark,Gaz,0,32326694
2023-01,Danemark,Gaz,0,26786567
2023-02,Danemark,Gaz,0,24763232
2023-03,Danemark,Gaz,0,25155821
2023-04,Danemark,Gaz,0,16961619
2023-05,Danemark,Gaz,0,11896942
2023-06,Danemark,Gaz,0,7120231
2023-07,Danemark,Gaz,0,7458995
2023-08,Danemark,Gaz,0,7723548
2023-09,Danemark,Gaz,0,7768519
2023-10,Danemark,Gaz,0,11804307
2023-11,Danemark,Gaz,0,22629201
2023-12,Danemark,Gaz,0,23502321
2024-01,Danemark,Gaz,0,29880663
2024-02,Danemark,Gaz,0,21456184
2024-03,Danemark,Gaz,0,22526796
2024-04,Danemark,Gaz,0,15371213
2024-05,Danemark,Gaz,0,9043005
2024-06,Danemark,Gaz,0,7036423
2024-07,Danemark,Gaz,0,8669382
2024-08,Danemark,Gaz,0,8870382
2024-09,Danemark,Gaz,0,8145159
2024-10,Danemark,Gaz,0,13360868
2024-11,Danemark,Gaz,0,20490367
2024-12,Danemark,Gaz,0,20557387
2025-01,Danemark,Gaz,0,23565487
2025-02,Danemark,Gaz,0,22899778
2025-03,Danemark,Gaz,0,16211613
2025-04,Danemark,Gaz,0,1217512275
2025-05,Danemark,Gaz,0,1088280625
2025-06,Danemark,Gaz,0,804867075
2025-07,Danemark,Gaz,0,8684058
2025-08,Danemark,Gaz,0,84958755
2025-09,Danemark,Gaz,0,78265215
2025-10,Danemark,Gaz,0,1251441925
2025-11,Danemark,Gaz,0,20176068
2016-01,Danemark,Charbon,1,8260978
2016-02,Danemark,Charbon,0,89269555
2016-03,Danemark,Charbon,1,2165058
2016-04,Danemark,Charbon,0,72104214
2016-05,Danemark,Charbon,0,55055927
2016-06,Danemark,Charbon,0,4692628
2016-07,Danemark,Charbon,0,60507979
2016-08,Danemark,Charbon,0,65218963
2016-09,Danemark,Charbon,0,64936384
2016-10,Danemark,Charbon,0,89868221
2016-11,Danemark,Charbon,1,5125962
2016-12,Danemark,Charbon,0,94305573
2017-01,Danemark,Charbon,0,79164993
2017-02,Danemark,Charbon,0,73066242
2017-03,Danemark,Charbon,0,75614184
2017-04,Danemark,Charbon,0,43161141
2017-05,Danemark,Charbon,0,27708984
2017-06,Danemark,Charbon,0,11264875
2017-07,Danemark,Charbon,0,21423125
2017-08,Danemark,Charbon,0,22993342
2017-09,Danemark,Charbon,0,3374976
2017-10,Danemark,Charbon,0,41100644
2017-11,Danemark,Charbon,0,54530353
2017-12,Danemark,Charbon,0,57468326
2018-01,Danemark,Charbon,0,68652837
2018-02,Danemark,Charbon,0,89250039
2018-03,Danemark,Charbon,1,18170194
2018-04,Danemark,Charbon,0,6541255
2018-05,Danemark,Charbon,0,32825861
2018-06,Danemark,Charbon,0,17551789
2018-07,Danemark,Charbon,0,39688839
2018-08,Danemark,Charbon,0,19894922
2018-09,Danemark,Charbon,0,24221993
2018-10,Danemark,Charbon,0,39761359
2018-11,Danemark,Charbon,0,51653126
2018-12,Danemark,Charbon,0,75558785
2019-01,Danemark,Charbon,0,79799318
2019-02,Danemark,Charbon,0,54509916
2019-03,Danemark,Charbon,0,47850857
2019-04,Danemark,Charbon,0,35150179
2019-05,Danemark,Charbon,0,19048055
2019-06,Danemark,Charbon,0,8207649
2019-07,Danemark,Charbon,0,8916544
2019-08,Danemark,Charbon,0,12583492
2019-09,Danemark,Charbon,0,12431204
2019-10,Danemark,Charbon,0,1944668
2019-11,Danemark,Charbon,0,36255122
2019-12,Danemark,Charbon,0,47365066
2020-01,Danemark,Charbon,0,48376709
2020-02,Danemark,Charbon,0,5131209
2020-03,Danemark,Charbon,0,46886315
2020-04,Danemark,Charbon,0,26396598
2020-05,Danemark,Charbon,0,24540435
2020-06,Danemark,Charbon,0,22407873
2020-07,Danemark,Charbon,0,23545461
2020-08,Danemark,Charbon,0,24056196
2020-09,Danemark,Charbon,0,17422717
2020-10,Danemark,Charbon,0,21010904
2020-11,Danemark,Charbon,0,30736552
2020-12,Danemark,Charbon,0,49384441
2021-01,Danemark,Charbon,0,75866652
2021-02,Danemark,Charbon,0,62246062
2021-03,Danemark,Charbon,0,57982888
2021-04,Danemark,Charbon,0,43149079
2021-05,Danemark,Charbon,0,25977199
2021-06,Danemark,Charbon,0,34952195
2021-07,Danemark,Charbon,0,42611603
2021-08,Danemark,Charbon,0,30132679
2021-09,Danemark,Charbon,0,47086731
2021-10,Danemark,Charbon,0,31787101
2021-11,Danemark,Charbon,0,50455985
2021-12,Danemark,Charbon,0,8086523
2022-01,Danemark,Charbon,0,62759076
2022-02,Danemark,Charbon,0,4617803
2022-03,Danemark,Charbon,0,7912586
2022-04,Danemark,Charbon,0,43234116
2022-05,Danemark,Charbon,0,40044396
2022-06,Danemark,Charbon,0,2775831
2022-07,Danemark,Charbon,0,27377454
2022-08,Danemark,Charbon,0,29064643
2022-09,Danemark,Charbon,0,33225447
2022-10,Danemark,Charbon,0,24434644
2022-11,Danemark,Charbon,0,38034518
2022-12,Danemark,Charbon,0,57615618
2023-01,Danemark,Charbon,0,46216847
2023-02,Danemark,Charbon,0,39055831
2023-03,Danemark,Charbon,0,38263324
2023-04,Danemark,Charbon,0,24752162
2023-05,Danemark,Charbon,0,10541878
2023-06,Danemark,Charbon,0,153781
2023-07,Danemark,Charbon,0,17310162
2023-08,Danemark,Charbon,0,25469259
2023-09,Danemark,Charbon,0,15105606
2023-10,Danemark,Charbon,0,16643899
2023-11,Danemark,Charbon,0,40234927
2023-12,Danemark,Charbon,0,44032559
2024-01,Danemark,Charbon,0,51810043
2024-02,Danemark,Charbon,0,36847713
2024-03,Danemark,Charbon,0,40249003
2024-04,Danemark,Charbon,0,20688826
2024-05,Danemark,Charbon,0,10671155
2024-06,Danemark,Charbon,0,15798199
2024-07,Danemark,Charbon,0,25357348
2024-08,Danemark,Charbon,0,25728741
2024-09,Danemark,Charbon,0,13985434
2024-10,Danemark,Charbon,0,24874013
2024-11,Danemark,Charbon,0,33384606
2024-12,Danemark,Charbon,0,2761901
2025-01,Danemark,Charbon,0,31584676
2025-02,Danemark,Charbon,0,37582783
2025-03,Danemark,Charbon,0,28351669
2025-04,Danemark,Charbon,0,1961468875
2025-05,Danemark,Charbon,0,10680855
2025-06,Danemark,Charbon,0,8404768
2025-07,Danemark,Charbon,0,102499135
2025-08,Danemark,Charbon,0,103998675
2025-09,Danemark,Charbon,0,10416363
2025-10,Danemark,Charbon,0,155583565
2025-11,Danemark,Charbon,0,30119388
2016-01,Danemark,Nucléaire,,
2016-02,Danemark,Nucléaire,,
2016-03,Danemark,Nucléaire,,
2016-04,Danemark,Nucléaire,,
2016-05,Danemark,Nucléaire,,
2016-06,Danemark,Nucléaire,,
2016-07,Danemark,Nucléaire,,
2016-08,Danemark,Nucléaire,,
2016-09,Danemark,Nucléaire,,
2016-10,Danemark,Nucléaire,,
2016-11,Danemark,Nucléaire,,
2016-12,Danemark,Nucléaire,,
2017-01,Danemark,Nucléaire,,
2017-02,Danemark,Nucléaire,,
2017-03,Danemark,Nucléaire,,
2017-04,Danemark,Nucléaire,,
2017-05,Danemark,Nucléaire,,
2017-06,Danemark,Nucléaire,,
2017-07,Danemark,Nucléaire,,
2017-08,Danemark,Nucléaire,,
2017-09,Danemark,Nucléaire,,
2017-10,Danemark,Nucléaire,,
2017-11,Danemark,Nucléaire,,
2017-12,Danemark,Nucléaire,,
2018-01,Danemark,Nucléaire,,
2018-02,Danemark,Nucléaire,,
2018-03,Danemark,Nucléaire,,
2018-04,Danemark,Nucléaire,,
2018-05,Danemark,Nucléaire,,
2018-06,Danemark,Nucléaire,,
2018-07,Danemark,Nucléaire,,
2018-08,Danemark,Nucléaire,,
2018-09,Danemark,Nucléaire,,
2018-10,Danemark,Nucléaire,,
2018-11,Danemark,Nucléaire,,
