Date,Pays,Filière,Valeur (TWh),
2016-01,Allemagne,Autre,0,1642008
2016-02,Autriche,Autre,0,1536072
2016-03,Autriche,Autre,0,1642008
2016-04,Autriche,Autre,0,158904
2016-05,Autriche,Autre,0,1642008
2016-06,Autriche,Autre,0,158904
2016-07,Autriche,Autre,0,1642008
2016-08,Autriche,Autre,0,1642008
2016-09,Autriche,Autre,0,158904
2016-10,Autriche,Autre,0,164199925
2016-11,Autriche,Autre,0,15882
2016-12,Autriche,Autre,0,1642008
2017-01,Autriche,Autre,0,1642008
2017-02,Autriche,Autre,0,1483104
2017-03,Autriche,Autre,0,1642008
2017-04,Autriche,Autre,0,158904
2017-05,Autriche,Autre,0,1642008
2017-06,Autriche,Autre,0,158904
2017-07,Autriche,Autre,0,1642008
2017-08,Autriche,Autre,0,1642008
2017-09,Autriche,Autre,0,158904
2017-10,Autriche,Autre,0,1642008
2017-11,Autriche,Autre,0,158904
2017-12,Autriche,Autre,0,1642008
2018-01,Autriche,Autre,0,1642008
2018-02,Autriche,Autre,0,1483104
2018-03,Autriche,Autre,0,1642008
2018-04,Autriche,Autre,0,158904
2018-05,Autriche,Autre,0,1642008
2018-06,Autriche,Autre,0,158904
2018-07,Autriche,Autre,0,1642008
2018-08,Autriche,Autre,0,1642008
2018-09,Autriche,Autre,0,158904
2018-10,Autriche,Autre,0,1642008
2018-11,Autriche,Autre,0,158904
2018-12,Autriche,Autre,0,1642008
2019-01,Autriche,Autre,0,1642008
2019-02,Autriche,Autre,0,1483104
2019-03,Autriche,Autre,0,1642008
2019-04,Autriche,Autre,0,158904
2019-05,Autriche,Autre,0,1642008
2019-06,Autriche,Autre,0,158904
2019-07,Autriche,Autre,0,1642008
2019-08,Autriche,Autre,0,1642008
2019-09,Autriche,Autre,0,158904
2019-10,Autriche,Autre,0,1642008
2019-11,Autriche,Autre,0,158904
2019-12,Autriche,Autre,0,1642008
2020-01,Autriche,Autre,0,1642008
2020-02,Autriche,Autre,0,1536072
2020-03,Autriche,Autre,0,1642008
2020-04,Autriche,Autre,0,158904
2020-05,Autriche,Autre,0,1642008
2020-06,Autriche,Autre,0,158904
2020-07,Autriche,Autre,0,1642008
2020-08,Autriche,Autre,0,1642008
2020-09,Autriche,Autre,0,158904
2020-10,Autriche,Autre,0,1642008
2020-11,Autriche,Autre,0,158904
2020-12,Autriche,Autre,0,1642008
2021-01,Autriche,Autre,0,1642008
2021-02,Autriche,Autre,0,1483104
2021-03,Autriche,Autre,0,1642008
2021-04,Autriche,Autre,0,158904
2021-05,Autriche,Autre,0,1642008
2021-06,Autriche,Autre,0,158904
2021-07,Autriche,Autre,0,1642008
2021-08,Autriche,Autre,0,1642008
2021-09,Autriche,Autre,0,158904
2021-10,Autriche,Autre,0,1642008
2021-11,Autriche,Autre,0,158904
2021-12,Autriche,Autre,0,1642008
2022-01,Autriche,Autre,0,1642008
2022-02,Autriche,Autre,0,1483104
2022-03,Autriche,Autre,0,1642008
2022-04,Autriche,Autre,0,158904
2022-05,Autriche,Autre,0,1642008
2022-06,Autriche,Autre,0,158904
2022-07,Autriche,Autre,0,1642008
2022-08,Autriche,Autre,0,1642008
2022-09,Autriche,Autre,0,158904
2022-10,Autriche,Autre,0,1642008
2022-11,Autriche,Autre,0,158904
2022-12,Autriche,Autre,0,1642008
2023-01,Autriche,Autre,0,1642008
2023-02,Autriche,Autre,0,1483104
2023-03,Autriche,Autre,0,1642008
2023-04,Autriche,Autre,0,158904
2023-05,Autriche,Autre,0,1642008
2023-06,Autriche,Autre,0,158904
2023-07,Autriche,Autre,0,1642008
2023-08,Autriche,Autre,0,1642008
2023-09,Autriche,Autre,0,158904
2023-10,Autriche,Autre,0,1642008
2023-11,Autriche,Autre,0,158904
2023-12,Autriche,Autre,0,1642008
2024-01,Autriche,Autre,0,1642008
2024-02,Autriche,Autre,0,1536072
2024-03,Autriche,Autre,0,1642008
2024-04,Autriche,Autre,0,158904
2024-05,Autriche,Autre,0,1642008
2024-06,Autriche,Autre,0,158904
2024-07,Autriche,Autre,0,1642008
2024-08,Autriche,Autre,0,1642008
2024-09,Autriche,Autre,0,158904
2024-10,Autriche,Autre,0,1642008
2024-11,Autriche,Autre,0,158904
2024-12,Autriche,Autre,0,1642008
2025-01,Autriche,Autre,0,1642008
2025-02,Autriche,Autre,0,1483104
2025-03,Autriche,Autre,0,1642008
2025-04,Autriche,Autre,0,158904
2025-05,Autriche,Autre,0,1642008
2025-06,Autriche,Autre,0,158904
2025-07,Autriche,Autre,0,1642008
2025-08,Autriche,Autre,0,16420084
2025-09,Autriche,Autre,0,1589184
2025-10,Autriche,Autre,0,16421568
2025-11,Autriche,Autre,0,1589184
2016-01,Autriche,Dechets,0,744
2016-02,Autriche,Dechets,0,696
2016-03,Autriche,Dechets,0,744
2016-04,Autriche,Dechets,0,72
2016-05,Autriche,Dechets,0,744
2016-06,Autriche,Dechets,0,72
